date,Battery,
2024-10-31T08,0,
2024-10-31T09,0,0
2024-10-31T10,0,0
2024-10-31T11,0,0
2024-10-31T12,0,0
2024-10-31T13,0,0
2024-10-31T14,0,0
2024-10-31T15,0,0
2024-10-31T16,0,0
2024-10-31T17,0,0
2024-10-31T18,0,0
2024-10-31T19,0,0
2024-10-31T20,0,0
2024-10-31T21,0,0
2024-10-31T22,0,0
2024-10-31T23,0,0
2024-11-01T00,1,1
2024-11-01T01,186,187
2024-11-01T02,436,623
2024-11-01T03,602,1225
2024-11-01T04,521,1746
2024-11-01T05,373,2119
2024-11-01T06,134,2253
2024-11-01T07,3,2256
2024-11-01T08,0,2256
2024-11-01T09,0,2256
2024-11-01T10,0,2256
2024-11-01T11,0,2256
2024-11-01T12,0,2256
2024-11-01T13,0,2256
2024-11-01T14,0,2256
2024-11-01T15,0,2256
2024-11-01T16,0,2256
2024-11-01T17,0,2256
2024-11-01T18,0,2256
2024-11-01T19,0,2256
2024-11-01T20,0,2256
2024-11-01T21,0,2256
2024-11-01T22,0,2256
2024-11-01T23,0,2256
2024-11-02T00,2,2258
2024-11-02T01,342,2600
2024-11-02T02,437,3037
2024-11-02T03,611,3648
2024-11-02T04,523,4171
2024-11-02T05,219,4390
2024-11-02T06,130,4520
2024-11-02T07,3,4523
2024-11-02T08,0,4523
2024-11-02T09,0,4523
2024-11-02T10,0,4523
2024-11-02T11,0,4523
2024-11-02T12,0,4523
2024-11-02T13,0,4523
2024-11-02T14,0,4523
2024-11-02T15,0,4523
2024-11-02T16,0,4523
2024-11-02T17,0,4523
2024-11-02T18,0,4523
2024-11-02T19,0,4523
2024-11-02T20,0,4523
2024-11-02T21,0,4523
2024-11-02T22,0,4523
2024-11-02T23,0,4523
2024-11-03T00,0,4523
2024-11-03T01,137,4660
2024-11-03T02,416,5076
2024-11-03T03,506,5582
2024-11-03T04,457,6039
2024-11-03T05,267,6306
2024-11-03T06,103,6409
2024-11-03T07,3,6412
2024-11-03T08,0,6412
2024-11-03T09,0,6412
2024-11-03T10,0,6412
2024-11-03T11,0,6412
2024-11-03T12,0,6412
2024-11-03T13,0,6412
2024-11-03T14,0,6412
2024-11-03T15,0,6412
2024-11-03T16,0,6412
2024-11-03T17,0,6412
2024-11-03T18,0,6412
2024-11-03T19,0,6412
2024-11-03T20,0,6412
2024-11-03T21,0,6412
2024-11-03T22,0,6412
2024-11-03T23,0,6412
2024-11-04T00,1,6413
2024-11-04T01,189,6602
2024-11-04T02,442,7044
2024-11-04T03,606,7650
2024-11-04T04,527,8177
2024-11-04T05,340,8517
2024-11-04T06,86,8603
2024-11-04T07,0,8603
2024-11-04T08,0,8603
2024-11-04T09,0,8603
2024-11-04T10,0,8603
2024-11-04T11,0,8603
2024-11-04T12,0,8603
2024-11-04T13,0,8603
2024-11-04T14,0,8603
2024-11-04T15,0,8603
2024-11-04T16,0,8603
2024-11-04T17,0,8603
2024-11-04T18,0,8603
2024-11-04T19,0,8603
2024-11-04T20,0,8603
2024-11-04T21,0,8603
2024-11-04T22,4,8607
2024-11-04T23,0,8607
2024-11-05T00,119,8726
2024-11-05T01,486,9212
2024-11-05T02,464,9676
2024-11-05T03,489,10165
2024-11-05T04,77,10242
2024-11-05T05,121,10363
2024-11-05T06,97,10460
2024-11-05T07,2,10462
2024-11-05T08,0,10462
2024-11-05T09,0,10462
2024-11-05T10,0,10462
2024-11-05T11,0,10462
2024-11-05T12,0,10462
2024-11-05T13,0,10462
2024-11-05T14,0,10462
2024-11-05T15,0,10462
2024-11-05T16,10,10472
2024-11-05T17,7,10479
2024-11-05T18,0,10479
2024-11-05T19,0,10479
2024-11-05T20,0,10479
2024-11-05T21,0,10479
2024-11-05T22,7,10486
2024-11-05T23,0,10486
2024-11-06T00,1,10487
2024-11-06T01,185,10672
2024-11-06T02,104,10776
2024-11-06T03,235,11011
2024-11-06T04,150,11161
2024-11-06T05,194,11355
2024-11-06T06,76,11431
2024-11-06T07,11,11442
2024-11-06T08,19,11461
2024-11-06T09,230,11691
2024-11-06T10,112,11803
2024-11-06T11,99,11902
2024-11-06T12,99,12001
2024-11-06T13,142,12143
2024-11-06T14,281,12424
2024-11-06T15,140,12564
2024-11-06T16,162,12726
2024-11-06T17,243,12969
2024-11-06T18,119,13088
2024-11-06T19,143,13231
2024-11-06T20,323,13554
2024-11-06T21,177,13731
2024-11-06T22,163,13894
2024-11-06T23,597,14491
2024-11-07T00,1865,16356
2024-11-07T01,2077,18433
2024-11-07T02,845,19278
2024-11-07T03,599,19877
2024-11-07T04,389,20266
2024-11-07T05,349,20615
2024-11-07T06,188,20803
2024-11-07T07,98,20901
2024-11-07T08,52,20953
2024-11-07T09,23,20976
2024-11-07T10,37,21013
2024-11-07T11,102,21115
2024-11-07T12,550,21665
2024-11-07T13,1675,23340
2024-11-07T14,1205,24545
2024-11-07T15,538,25083
2024-11-07T16,507,25590
2024-11-07T17,382,25972
2024-11-07T18,178,26150
2024-11-07T19,78,26228
2024-11-07T20,104,26332
2024-11-07T21,209,26541
2024-11-07T22,494,27035
2024-11-07T23,1039,28074
2024-11-08T00,2103,30177
2024-11-08T01,1959,32136
2024-11-08T02,720,32856
2024-11-08T03,958,33814
2024-11-08T04,493,34307
2024-11-08T05,507,34814
2024-11-08T06,229,35043
2024-11-08T07,111,35154
2024-11-08T08,35,35189
2024-11-08T09,60,35249
2024-11-08T10,18,35267
2024-11-08T11,50,35317
2024-11-08T12,116,35433
2024-11-08T13,453,35886
2024-11-08T14,421,36307
2024-11-08T15,334,36641
2024-11-08T16,76,36717
2024-11-08T17,108,36825
2024-11-08T18,301,37126
2024-11-08T19,181,37307
2024-11-08T20,503,37810
2024-11-08T21,359,38169
2024-11-08T22,336,38505
2024-11-08T23,226,38731
2024-11-09T00,1668,40399
2024-11-09T01,1897,42296
2024-11-09T02,1289,43585
2024-11-09T03,1516,45101
2024-11-09T04,1065,46166
2024-11-09T05,812,46978
2024-11-09T06,321,47299
2024-11-09T07,242,47541
2024-11-09T08,128,47669
2024-11-09T09,117,47786
2024-11-09T10,114,47900
2024-11-09T11,221,48121
2024-11-09T12,194,48315
2024-11-09T13,248,48563
2024-11-09T14,149,48712
2024-11-09T15,252,48964
2024-11-09T16,117,49081
2024-11-09T17,110,49191
2024-11-09T18,78,49269
2024-11-09T19,48,49317
2024-11-09T20,138,49455
2024-11-09T21,50,49505
2024-11-09T22,132,49637
2024-11-09T23,804,50441
2024-11-10T00,2517,52958
2024-11-10T01,1876,54834
2024-11-10T02,1186,56020
2024-11-10T03,1020,57040
2024-11-10T04,875,57915
2024-11-10T05,487,58402
